mean_text_length,run_1,run_2,run_3
5,0.019947052001953125,0.02094125747680664,0.01955556869506836
10,0.03895139694213867,0.03724098205566406,0.03656172752380371
15,0.05509161949157715,0.06579995155334473,0.06482577323913574
20,0.07483410835266113,0.07143402099609375,0.07377052307128906
25,0.08841228485107422,0.0887596607208252,0.09033751487731934
30,0.1097099781036377,0.10622167587280273,0.10772371292114258
35,0.1230931282043457,0.12186264991760254,0.12267160415649414
40,0.14086389541625977,0.1877737045288086,0.1483137607574463
45,0.16137290000915527,0.17292284965515137,0.16799592971801758
50,0.17601585388183594,0.20451760292053223,0.1854534149169922
